_id,singkat,hasil
1020,psng,pasang 
1021,psr,pasar 
1022,psti,pasti 
1023,psti,pasti
1024,ptg,penting 
1025,punye,punya 
1026,puter,putar 
1027,puterin,putar 
1028,pzt,pasti
1029,q,saya
1030,qaqa,kakak
1031,qq,kakak
1032,qt,kita 
1033,qta,kita 
1034,rada,agak 
1035,rame,ramai 
1036,rame2,ramai-ramai 
1037,rasane,rasanya 
1038,rb,ribu 
1039,rmbt,rambut 
1040,rmh,rumah 
1041,rmh,rumah
1042,rmhq,rumahku 
1043,rsk,rusak 
1044,sabeb,bebas
1045,sabi,bisa
1046,saje,saja 
1047,salfok,salah fokus
1048,saltum,salah kostum
1049,sambel,sambal 
1050,samo,sama 
1051,sampe,sampai
1052,sans,santai 
1053,sape,siapa 
1054,sateny,satenya 
1055,sbg,sebagai 
1056,sbl,sebelah 
1057,sblh,sebelah 
1058,sblhny,sebelahnya 
1059,sblm,sebelum 
1060,sblmny,sebelumnya 
1061,sbnr,sebenarnya 
1062,sbnrny,sebenarnya 
1063,sbnrnya,sebenarnya 
1064,sbnt,sebentar 
1065,sbntr,sebentar 
1066,sbr,sabar 
1067,sbtr,sebentar 
1068,scr,secara 
1069,sdah,sudah 
1070,sdg,sedang 
1071,sdgkn,sedangkan 
1072,sdh,sudah 
1073,sdh,sudah
1074,sdng,sedang 
1075,sdngkn,sedangkan 
1076,sebel,kesal 
1077,sebenernya,sebenarnya 
1078,sekola,sekolah 
1079,selaw,santai
1080,selow,sebentar 
1081,selow,santai
1082,semalem,semalam 
1083,sembuhin,sembuhkan 
1084,senen,senin 
1085,seneng,senang 
1086,serem,seram 
1087,sesek,sesak
1088,seterah,terserah 
1089,sgala,segala 
1090,sgini,segini 
1091,sgitu,segitu 
1092,sgt,sangat 
1093,shap,siap
1094,shaps,siap
1095,shbt,sahabat 
1096,shiet,tahi 
1097,shit,tahi 
1098,sihat,sehat 
1099,sja,saja 
1100,skali,sekali 
1101,skalian,sekalian 
1102,skit,sakit 
1103,sklh,sekolah 
1104,skola,sekolah 
1105,skolah,sekolah 
1106,skr,sekarang 
1107,skrang,sekarang 
1108,skrg,sekarang 
1109,skrng,sekarang 
1110,skt,sakit 
1111,slah,salah 
1112,slalu,selalu 
1113,slamat,selamat 
1114,slesai,selesai 
1115,slg,saling 
1116,slh,salah 
1117,slhkn,salahkan 
1118,sllu,selalu 
1119,slm,salam 
1120,slmt,selamat 
1121,sls,selesai 
1122,sm,sama 
1123,smangat,semangat 
1124,smbg,sambung 
1125,smbh,sembuh 
1126,smbhyg,sembahyang 
1127,smbil,sambil 
1128,smbl,sambil 
1129,smbng,sambung 
1130,smbrg,sembarang 
1131,smbuh,sembuh 
1132,smcm,semacam 
1133,smg,semoga 
1134,smga,semoga 
1135,smgt,semangat 
1136,smlm,semalam 
1137,smlmn,semalaman 
1138,smngt,semangat 
1139,smntr,sementara 
1140,smoga,semoga 
1141,smpai,sampai 
1142,smpe,sampai 
1143,smpt,sempat 
1144,smua,semua 
1145,smuanya,semuanya 
1146,sndiri,sendiri 
1147,sndri,sendiri 
1148,sngt,sangat 
1149,sni,sini 
1150,snyum,senyum 
1151,soale,soalnya 
1152,sodara,saudara 
1153,sopo,siapa 
1154,sorang,seorang 
1155,sory,maaf 
1156,sperti,seperti 
1157,spnjng,sepanjang 
1158,sprt,seperti 
1159,sprtny,sepertinya 
1160,spt,seperti 
1161,sptny,sepertinya 
1162,spy,supaya 
1163,srg,sering 
1164,sseorg,seseorang 
1165,stelah,setelah 
1166,stgh,setengah 
1167,stiap,setiap 
1168,stlh,setelah 
1169,stngh,setengah 
1170,sudh,sudah 
1171,sy,saya 
1172,sya,saya 
1173,syantik,cantik
1174,syg,sayang 
1175,sygku,sayangku 
1176,sygny,sayangnya 
1177,syipp,sip
1178,syng,sayang 
1179,syp,siapa
1180,tai,tahi 
1181,tau,tahu 
1182,tau,tahu
1183,tauk,tahu
1184,taunya,tahunya 
1185,td,tadu 
1186,tdi,tadi 
1187,tdk,tidak 
1188,tdk,tidak
1189,tdny,tadinya 
1190,tdr,tidur 
1191,tdur,tidur 
1192,telor,telur 
